"FIPS","year","sex","race","var_type","cb_homeowner","cb_renter","noncb_homeowner","noncb_renter","homeownership","cost_burden","severe_housing_problems"
"01073",2000,"female","black","estimate",9239,15159,15328,15124,24567,24398,16806
"01073",2000,"female","black","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"female","black","percent",16.84412032816773,27.637192342752964,27.945305378304468,27.573381950774838,44.72012378265223,44.481312670920694,30.639927073837743
"01073",2000,"female","black","population",54850,54850,54850,54850,54935,54850,54850
"01073",2000,"female","black","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"female","hispanic","estimate",163,236,157,129,320,399,160
"01073",2000,"female","hispanic","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"female","hispanic","percent",23.795620437956206,34.45255474452555,22.919708029197082,18.83211678832117,46.715328467153284,58.24817518248175,23.357664233576642
"01073",2000,"female","hispanic","population",685,685,685,685,685,685,685
"01073",2000,"female","hispanic","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"female","other","estimate",148,414,178,336,326,562,441
"01073",2000,"female","other","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"female","other","percent",13.754646840148698,38.47583643122677,16.54275092936803,31.226765799256505,30.297397769516728,52.23048327137546,40.985130111524164
"01073",2000,"female","other","population",1076,1076,1076,1076,1076,1076,1076
"01073",2000,"female","other","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"female","total","estimate",19482,22799,41655,26854,61137,42281,26027
"01073",2000,"female","total","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"female","total","percent",17.58461955050095,20.578572073291813,37.5981586785811,24.238649697626137,55.11760622424969,38.16319162379276,23.492192436140446
"01073",2000,"female","total","population",110790,110790,110790,110790,110921,110790,110790
"01073",2000,"female","total","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"female","white","estimate",9932,6990,25992,11265,35924,16922,8620
"01073",2000,"female","white","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"female","white","percent",18.331825984237433,12.901677771830414,47.97430738847155,20.7921888554606,66.2498847395113,31.233503756067847,15.910223518337363
"01073",2000,"female","white","population",54179,54179,54179,54179,54225,54179,54179
"01073",2000,"female","white","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"male","black","estimate",5723,5460,21142,8883,26865,11183,7280
"01073",2000,"male","black","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"male","black","percent",13.888079984469034,13.249854397204427,51.30557173364395,21.556493884682588,65.15886490419598,27.13793438167346,17.6664725296059
"01073",2000,"male","black","population",41208,41208,41208,41208,41230,41208,41208
"01073",2000,"male","black","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"male","hispanic","estimate",222,394,602,932,824,616,823
"01073",2000,"male","hispanic","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"male","hispanic","percent",10.325581395348838,18.325581395348838,28.000000000000004,43.348837209302324,38.325581395348834,28.651162790697676,38.27906976744186
"01073",2000,"male","hispanic","population",2150,2150,2150,2150,2150,2150,2150
"01073",2000,"male","hispanic","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"male","other","estimate",203,484,1448,826,1651,687,608
"01073",2000,"male","other","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"male","other","percent",6.8557919621749415,16.345829111786557,48.90239783856805,27.89598108747045,55.758189800743,23.2016210739615,20.533603512326916
"01073",2000,"male","other","population",2961,2961,2961,2961,2961,2961,2961
"01073",2000,"male","other","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"male","total","estimate",17895,11231,95800,26490,113720,29126,16243
"01073",2000,"male","total","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"male","total","percent",11.818433983198604,7.417313890209753,63.26940349764886,17.49484862894278,75.03843641330526,19.23574787340836,10.727400010566916
"01073",2000,"male","total","population",151416,151416,151416,151416,151549,151416,151416
"01073",2000,"male","total","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"male","white","estimate",11747,4893,72608,15849,84380,16640,7532
"01073",2000,"male","white","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"male","white","percent",11.177293357564915,4.655699020904498,69.08665328220597,15.080354339324623,80.20302638582618,15.832992378469413,7.166712655927382
"01073",2000,"male","white","population",105097,105097,105097,105097,105208,105097,105097
"01073",2000,"male","white","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"total","black","estimate",14962,20619,36470,24007,51432,35581,24086
"01073",2000,"total","black","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"total","black","percent",15.576006162943221,21.46515646796727,37.9666451518874,24.99219221720211,53.48307596318826,37.04116263091049,25.074434196006578
"01073",2000,"total","black","population",96058,96058,96058,96058,96165,96058,96058
"01073",2000,"total","black","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"total","hispanic","estimate",385,630,759,1061,1144,1015,983
"01073",2000,"total","hispanic","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"total","hispanic","percent",13.580246913580247,22.22222222222222,26.77248677248677,37.42504409171076,40.35273368606702,35.80246913580247,34.673721340388006
"01073",2000,"total","hispanic","population",2835,2835,2835,2835,2835,2835,2835
"01073",2000,"total","hispanic","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"total","other","estimate",351,898,1626,1162,1977,1249,1049
"01073",2000,"total","other","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"total","other","percent",8.694575179588803,22.244240772851125,40.2774337379242,28.78375030963587,48.972008917513,30.93881595243993,25.98464206093634
"01073",2000,"total","other","population",4037,4037,4037,4037,4037,4037,4037
"01073",2000,"total","other","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"total","total","estimate",37377,34030,137455,53344,174857,71407,42270
"01073",2000,"total","total","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"total","total","percent",14.254822544106544,12.978345270512499,52.422522749288724,20.344309436092235,66.6198041680954,27.23316781461904,16.120912564929863
"01073",2000,"total","total","population",262206,262206,262206,262206,262470,262206,262206
"01073",2000,"total","total","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"total","white","estimate",21679,11883,98600,27114,120304,33562,16152
"01073",2000,"total","white","MOE",NA,NA,NA,NA,NA,NA,NA
"01073",2000,"total","white","percent",13.610964614882343,7.460634370526634,61.90512067103644,17.023280343554585,75.45740216893617,21.071598985408976,10.140887516009943
"01073",2000,"total","white","population",159276,159276,159276,159276,159433,159276,159276
"01073",2000,"total","white","CI",NA,NA,NA,NA,NA,NA,NA
"01073",2005,"female","black","estimate",10426,16691,18706,13216,29132,27117,18883
"01073",2005,"female","black","MOE",2250.079803462535,3207.7700562834534,2579.451165799617,2387.564923216749,3135.6544098445383,3485.264007834091,3014.2541410938215
"01073",2005,"female","black","percent",17.65951320313691,28.27114280390928,31.68414099154796,22.385203001405852,49.21694176479532,45.93065600704619,31.983942817459642
"01073",2005,"female","black","population",59039,59039,59039,59039,59191,59039,59039
"01073",2005,"female","black","CI",3.811175330650138,5.4333068925345165,4.369063103710457,4.04404702521511,5.2975188961912085,5.903324934084404,5.105530481705011
"01073",2005,"female","hispanic","estimate",11,309,275,545,286,320,189
"01073",2005,"female","hispanic","MOE",17.256826221817267,274.1487629987595,304.8875590955623,425.7125245162514,305.9240072959296,273.2369263889857,205.01874627701733
"01073",2005,"female","hispanic","percent",0.9649122807017544,27.105263157894736,24.12280701754386,47.80701754385965,25.087719298245613,28.07017543859649,16.57894736842105
"01073",2005,"female","hispanic","population",1140,1140,1140,1140,1140,1140,1140
"01073",2005,"female","hispanic","CI",1.5137566861243217,24.04813710515434,26.74452272768091,37.34320390493433,26.835439236485055,23.968151437630326,17.984100550615555
"01073",2005,"female","other","estimate",421,795,920,753,1341,1216,651
"01073",2005,"female","other","MOE",310.69429897408804,729.4773783512755,489.0866075003997,533.6890615213132,540.784461612249,779.2458066786436,499.93725964489784
"01073",2005,"female","other","percent",14.57251644167532,27.51817237798546,31.844929041190724,26.064382139148496,46.41744548286604,42.090688819660784,22.533748701973
"01073",2005,"female","other","population",2889,2889,2889,2889,2889,2889,2889
"01073",2005,"female","other","CI",10.754389026448184,25.250168859511096,16.929269903094486,18.473141624136836,18.718742181109345,26.97285589057264,17.304854954825124
"01073",2005,"female","total","estimate",24094,25840,53938,26375,78032,49934,29532
"01073",2005,"female","total","MOE",3832.3772804518803,4340.863499828548,4059.3705863333976,3973.8614025560832,4721.089501441643,5331.732372384702,3616.3939611854726
"01073",2005,"female","total","percent",18.498698626455887,19.839228542691963,41.41208626686219,20.249986563989957,59.840949700534516,38.337927169147854,22.673842775649344
"01073",2005,"female","total","population",130247,130247,130247,130247,130399,130247,130247
"01073",2005,"female","total","CI",2.94239197866506,3.3327934615219914,3.116671083659046,3.051019526404511,3.6204951736145548,4.09355483994618,2.776566033141241
"01073",2005,"female","white","estimate",13236,8045,34037,11861,47273,21281,9809
"01073",2005,"female","white","MOE",3145.2313534138475,2160.7351460926443,2922.394400608643,2696.5946679339854,3221.894056199513,3915.023658814529,1993.6033530936515
"01073",2005,"female","white","percent",19.70258562943777,11.975468524390061,50.666130784917904,17.65581506125426,70.36871641435567,31.678054153827834,14.60128909331785
"01073",2005,"female","white","population",67179,67179,67179,67179,67179,67179,67179
"01073",2005,"female","white","CI",4.681866883123964,3.2163848019360874,4.3501606165745885,4.014044073198448,4.795983947661491,5.8277492353481435,2.967599031086577
"01073",2005,"male","black","estimate",7012,6412,19860,9731,26872,13424,7555
"01073",2005,"male","black","MOE",2204.8510061328407,1534.1442771652053,3525.3381660125883,2846.074419547256,3679.0462695598844,2716.0793961478284,1916.4007837525792
"01073",2005,"male","black","percent",16.301290247588053,14.906427990235965,46.16994071835406,22.622341043821923,62.47123096594211,31.207718237824018,17.563640590491687
"01073",2005,"male","black","population",43015,43015,43015,43015,43015,43015,43015
"01073",2005,"male","black","CI",5.125772419232455,3.566533249250739,8.19560192028964,6.616469649069525,8.55293797410179,6.3142610627637525,4.455191872027384
"01073",2005,"male","hispanic","estimate",226,1074,140,2027,366,1300,1428
"01073",2005,"male","hispanic","MOE",277.6007563930617,626.2662127901361,131.15458214927148,1077.3207859105846,292.69006602761567,696.432271443175,666.91371623884
"01073",2005,"male","hispanic","percent",6.5186039803865015,30.977790597057975,4.0380732621863284,58.46553216036919,10.556677242572828,37.49639457744448,41.18834727430055
"01073",2005,"male","hispanic","population",3467,3467,3467,3467,3467,3467,3467
"01073",2005,"male","hispanic","CI",8.00694422823945,18.063634634846732,3.782941509929953,31.073573288450667,8.442170926669041,20.087460958845544,19.236046040924144
"01073",2005,"male","other","estimate",170,442,1216,809,1386,612,533
