"year","category","variable","homeownership"
2000,"total","lou",64.96104311321476
2000,"total","q1",61.37164668336967
2000,"total","mean",63.20412975867346
2000,"total","q3",66.41590198442879
2005,"total","lou",66.58987276103102
2005,"total","q1",61.98499392704789
2005,"total","mean",64.17904309565125
2005,"total","q3",67.06174530475877
2006,"total","lou",65.99254340850298
2006,"total","q1",62.64910448553191
2006,"total","mean",64.58301954363756
2006,"total","q3",66.79422385038808
2007,"total","lou",66.80792114256151
2007,"total","q1",62.10473201369879
2007,"total","mean",64.7713109916869
2007,"total","q3",67.27418347811037
2008,"total","lou",66.2801922514769
2008,"total","q1",62.70803391859083
2008,"total","mean",64.71262104257691
2008,"total","q3",66.69485167034424
2009,"total","lou",63.772889608218186
2009,"total","q1",60.15169159216791
2009,"total","mean",62.861753510479886
2009,"total","q3",65.61224945565692
2010,"total","lou",62.64578985358143
2010,"total","q1",60.41973314671091
2010,"total","mean",62.4567812364007
2010,"total","q3",64.69245477598133
2011,"total","lou",63.96042060649955
2011,"total","q1",59.55301519942842
2011,"total","mean",61.42544494590815
2011,"total","q3",63.85498784995813
2012,"total","lou",60.94722413501891
2012,"total","q1",57.968450488228044
2012,"total","mean",60.00356298745005
2012,"total","q3",63.45700554132647
2013,"total","lou",61.87462443544166
2013,"total","q1",56.798893474398824
2013,"total","mean",59.600055319695166
2013,"total","q3",62.256841842492314
2014,"total","lou",60.88645198195505
2014,"total","q1",56.509824435009925
2014,"total","mean",59.018368260899464
2014,"total","q3",62.15922855435844
2015,"total","lou",61.16245609032107
2015,"total","q1",55.77508809654403
2015,"total","mean",59.29000576751807
2015,"total","q3",62.82875525324437
2016,"total","lou",60.508783712809674
2016,"total","q1",55.329054543900526
2016,"total","mean",58.74648451073862
2016,"total","q3",61.813490344464974
2017,"total","lou",61.68935813727434
2017,"total","q1",56.35757948053341
2017,"total","mean",59.56182433168515
2017,"total","q3",61.485139102365636
2018,"total","lou",61.858223700062645
2018,"total","q1",55.62542721531639
2018,"total","mean",59.45536460848183
2018,"total","q3",62.586074622893975
2019,"total","lou",61.54091879497115
2019,"total","q1",55.83328270821252
2019,"total","mean",59.4710113991193
2019,"total","q3",62.24413095977025
2021,"total","lou",62.78842901324055
2021,"total","q1",57.01654221227362
2021,"total","mean",61.059163118786465
2021,"total","q3",63.78873112287938
2022,"total","lou",63.77723956571035
2022,"total","q1",56.63796342346761
2022,"total","mean",59.87746751026372
2022,"total","q3",61.43339228171108
2023,"total","lou",63.90735675078349
2023,"total","q1",56.44740486627973
2023,"total","mean",59.80196926614844
2023,"total","q3",62.304090161516
